total_timesteps,serial_timesteps,value_loss,time_elapsed,true_reward,explained_variance,ep_len_mean,fps,n_updates,approxkl,policy_loss,clipfrac,ep_reward_mean,policy_entropy
3450000,34500,0.108270325,129.68940138816833,0.061853282,0.9074549376964569,35.9,53548,138,0.0028545407,-0.0018292472,0.02584,1.8226922976014612,4.685651
3475000,34750,0.10761962,130.577800989151,0.0626071,0.9138644710183144,37.0,54134,139,0.005988258,-0.0020213106,0.07536399,1.470659284206174,4.6737585
3500000,35000,0.091906115,131.44659900665283,0.062528215,0.9252541661262512,34.46,54613,140,0.0036561552,-0.002342594,0.036112003,1.4644291314234124,4.6634145
3525000,35250,0.09529588,132.32122445106506,0.066518456,0.9196623787283897,37.44,55206,141,0.00441953,-0.0019515691,0.049432,1.768925372929516,4.6571703
3550000,35500,0.09403937,133.18848395347595,0.06223672,0.9224859699606895,37.18,55173,142,0.0030436937,-0.001639905,0.026252002,1.7362770654837731,4.6506376
3575000,35750,0.12637185,134.04717636108398,0.0647154,0.894424207508564,37.28,54670,143,0.0044790814,-0.0023760356,0.051832,1.6734226993435732,4.646569
3600000,36000,0.11256428,134.91877722740173,0.06360894,0.902525007724762,37.61,56292,144,0.0041241255,-0.001955112,0.044568,1.5860165612617163,4.6409674
3625000,36250,0.09115635,135.77376651763916,0.06434214,0.9184709563851357,34.73,55743,145,0.0031364125,-0.0018906317,0.030807998,1.3712884935315923,4.6384225
3650000,36500,0.08231145,136.627920627594,0.062967494,0.9283440485596657,35.85,54787,146,0.0030576433,-0.0020880192,0.027668,1.586488580061059,4.6363773
3675000,36750,0.09929326,137.48901271820068,0.061377633,0.9084216356277466,37.79,55799,147,0.0045995964,-0.0026539597,0.050591998,1.3450542882484025,4.631756
3700000,37000,0.097638145,138.34507131576538,0.06223084,0.9248565509915352,33.13,55697,148,0.0040885685,-0.002653117,0.043728,1.2593768257056217,4.6236825
3725000,37250,0.10108055,139.20803332328796,0.063826434,0.9121502712368965,39.19,54993,149,0.0039272616,-0.002258745,0.040936,2.0108697030938494,4.6138673
3750000,37500,0.09160167,140.1254813671112,0.06047311,0.9238219782710075,42.08,52396,150,0.0033364464,-0.0018614354,0.030571997,1.7603307337879233,4.6068244
